                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.0324,                0.82448,                 1.2659,                0.77347,                0.76587,                0.79815,                0.51758,                 1.2431,                0.93897,                 1.4997,              0.0014258,              0.0014258,              0.0014258
                     60,                 1.0286,                0.82398,                 1.2601,                0.78011,                0.78216,                 0.8208,                0.54359,                 1.2272,                0.88173,                 1.4878,              0.0014159,              0.0014159,              0.0014159
                     61,                 1.0381,                0.83052,                 1.2547,                0.79391,                0.74997,                0.81451,                0.53461,                 1.2477,                 0.9188,                 1.4796,               0.001406,               0.001406,               0.001406
                     62,                 1.0275,                0.81208,                 1.2574,                0.78167,                0.76455,                 0.8033,                0.53827,                 1.2394,                0.88558,                 1.4913,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.0315,                0.80944,                 1.2641,                0.78883,                0.76672,                0.81202,                0.54015,                 1.2234,                0.87992,                 1.4748,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.0403,                0.83311,                 1.2542,                0.78377,                0.76587,                0.80288,                0.53567,                 1.2207,                0.88451,                 1.4647,              0.0013763,              0.0013763,              0.0013763
                     65,                 1.0407,                0.79579,                 1.2547,                0.79263,                0.77038,                0.80807,                0.54693,                 1.2072,                0.88158,                 1.4675,              0.0013664,              0.0013664,              0.0013664
                     66,                 1.0201,                0.79547,                 1.2397,                0.78477,                0.78816,                0.82433,                0.54617,                 1.2437,                0.87927,                 1.4818,              0.0013565,              0.0013565,              0.0013565
                     67,                 1.0249,                0.79019,                 1.2543,                0.81248,                0.78216,                0.82797,                0.55138,                 1.2209,                0.87213,                 1.4638,              0.0013466,              0.0013466,              0.0013466
                     68,                 1.0093,                0.79364,                 1.2408,                0.80523,                0.77702,                0.82518,                0.55957,                 1.1986,                0.87113,                 1.4339,              0.0013367,              0.0013367,              0.0013367
                     69,                  1.032,                0.80611,                 1.2598,                0.78872,                0.78758,                0.82467,                0.54296,                 1.2476,                0.85134,                 1.4907,              0.0013268,              0.0013268,              0.0013268
                     70,                 1.0056,                0.81539,                 1.2453,                0.77856,                 0.7693,                0.80668,                 0.5412,                 1.2124,                0.88879,                 1.4555,              0.0013169,              0.0013169,              0.0013169
                     71,                 1.0055,                0.78293,                 1.2399,                0.80835,                 0.7693,                0.81833,                0.54775,                 1.2286,                0.85453,                 1.4946,               0.001307,               0.001307,               0.001307
                     72,                0.99785,                0.77919,                 1.2337,                0.76924,                0.77702,                0.80512,                0.53557,                 1.2234,                0.86996,                 1.4917,              0.0012971,              0.0012971,              0.0012971
                     73,                0.98581,                0.77813,                 1.2307,                0.80874,                0.75792,                0.82168,                0.55305,                 1.2306,                 0.8728,                 1.4854,              0.0012872,              0.0012872,              0.0012872
                     74,                 0.9856,                0.75745,                 1.2295,                0.79384,                0.75043,                0.80567,                0.53649,                 1.2233,                0.89586,                 1.4763,              0.0012773,              0.0012773,              0.0012773
                     75,                0.99913,                0.75822,                 1.2318,                0.78704,                0.80103,                0.82699,                0.55698,                 1.2241,                0.84754,                 1.4824,              0.0012674,              0.0012674,              0.0012674
                     76,                0.96811,                0.75439,                 1.2265,                0.79258,                0.77273,                0.80436,                0.54213,                 1.2022,                 0.8672,                 1.4698,              0.0012575,              0.0012575,              0.0012575
                     77,                0.97836,                0.74911,                 1.2227,                0.78382,                0.79417,                0.81574,                0.54424,                 1.2085,                0.87874,                 1.4612,              0.0012476,              0.0012476,              0.0012476
                     78,                0.97156,                0.73737,                 1.2117,                0.79773,                0.78135,                0.82525,                0.54798,                 1.2407,                0.86555,                 1.4753,              0.0012377,              0.0012377,              0.0012377
                     79,                0.96054,                0.72472,                 1.2076,                0.78933,                0.78728,                0.80964,                0.54237,                 1.2161,                0.87024,                 1.4691,              0.0012278,              0.0012278,              0.0012278
                     80,                0.96086,                0.73838,                 1.1967,                0.77954,                0.79588,                0.81559,                0.55067,                 1.2042,                0.85868,                 1.4793,              0.0012179,              0.0012179,              0.0012179
